Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_red->green	lnL
16368	0.013578	0.025409	0.001121	0.003378	1.552372	-3507.957
16372	0.010870	0.023483	0.000967	0.003025	1.999267	-3534.766
16376	0.010572	0.020595	0.000961	0.003251	1.489177	-3516.081
16380	0.012492	0.021872	0.000839	0.003251	1.454983	-3521.451
16384	0.010151	0.020498	0.001654	0.003251	1.516251	-3520.212
16388	0.012403	0.022298	0.001065	0.003591	1.935706	-3516.212
16392	0.012931	0.020905	0.002031	0.003611	2.191779	-3504.895
16396	0.011310	0.018635	0.000971	0.003070	1.783835	-3522.871
16400	0.015786	0.022078	0.001708	0.004219	1.783835	-3494.770
16404	0.015039	0.027134	0.002837	0.004219	2.007689	-3503.256
16408	0.013215	0.026421	0.001617	0.003524	1.808275	-3533.293
16412	0.015753	0.024620	0.001866	0.003524	1.922007	-3529.384
16416	0.016561	0.021328	0.002047	0.003524	1.552905	-3520.375
16420	0.016561	0.020400	0.002186	0.003231	1.784595	-3513.175
16424	0.020364	0.023059	0.002016	0.003593	1.195991	-3510.191
16428	0.020586	0.026115	0.002457	0.003915	1.454472	-3510.367
16432	0.022140	0.028907	0.001493	0.004541	2.265740	-3504.596
16436	0.017099	0.028022	0.000915	0.003563	1.831347	-3523.669
16440	0.015190	0.035970	0.002136	0.003563	1.615178	-3521.005
16444	0.014431	0.029500	0.001271	0.003563	1.903645	-3524.848
16448	0.017108	0.030644	0.002126	0.004337	1.526512	-3507.378
16452	0.014000	0.028861	0.003300	0.003509	1.514309	-3530.305
16456	0.014308	0.026134	0.002132	0.003290	1.514309	-3511.562
16460	0.017268	0.033584	0.002486	0.004019	1.514309	-3510.549
16464	0.013405	0.036084	0.003382	0.003607	1.771421	-3524.044
16468	0.013763	0.032981	0.003903	0.003607	1.362266	-3535.450
16472	0.012134	0.026981	0.001377	0.003094	1.663304	-3519.128
16476	0.010715	0.019615	0.001735	0.002480	1.064498	-3504.462
16480	0.011490	0.026239	0.001744	0.002772	1.397016	-3531.804
16484	0.013437	0.030758	0.001938	0.002629	1.316127	-3517.034
16488	0.014281	0.026842	0.002041	0.002629	1.632774	-3532.143
16492	0.015824	0.029425	0.001446	0.003366	1.490680	-3518.636
16496	0.017085	0.024094	0.001504	0.003454	1.651641	-3511.591
16500	0.021643	0.031475	0.001979	0.004262	1.559078	-3519.477
16504	0.024998	0.032613	0.005443	0.004892	1.467556	-3505.966
16508	0.020798	0.032758	0.003995	0.003768	1.615666	-3500.572
16512	0.018015	0.039498	0.002797	0.003768	2.182960	-3511.109
16516	0.017582	0.031302	0.003455	0.003667	2.182960	-3499.895
16520	0.021170	0.039164	0.002957	0.004702	2.182960	-3503.263
16524	0.017463	0.032523	0.002218	0.004230	2.182960	-3512.639
16528	0.020175	0.032485	0.002980	0.004683	1.753640	-3509.821
16532	0.020871	0.035357	0.004389	0.004683	1.987675	-3504.496
16536	0.020498	0.040915	0.005686	0.004733	2.052276	-3514.912
16540	0.018787	0.040554	0.004233	0.004165	2.052276	-3504.856
16544	0.018841	0.040006	0.003908	0.004622	1.393094	-3503.017
16548	0.019308	0.041021	0.003549	0.004622	2.000426	-3516.768
16552	0.021389	0.049348	0.001799	0.004622	1.637522	-3523.517
16556	0.021658	0.031374	0.001687	0.004648	1.637522	-3497.523
