Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_red->green	lnL
22144	0.019935	0.028018	0.003405	0.002937	1.397949	-3508.259
22148	0.020054	0.028545	0.003337	0.002738	1.732796	-3525.833
22152	0.016417	0.020879	0.004701	0.002314	2.203441	-3529.701
22156	0.015435	0.016329	0.002996	0.001988	1.813588	-3524.180
22160	0.017454	0.018720	0.002259	0.002258	1.236181	-3517.880
22164	0.016233	0.016615	0.002142	0.002314	1.568831	-3516.815
22168	0.017330	0.017190	0.001512	0.002314	1.210065	-3508.668
22172	0.017722	0.015750	0.001280	0.002201	1.225420	-3506.541
22176	0.020636	0.017661	0.002294	0.002327	1.544690	-3508.252
22180	0.020836	0.026709	0.001234	0.002661	1.544690	-3520.153
22184	0.019086	0.025370	0.001149	0.002315	2.110618	-3503.760
22188	0.021402	0.027691	0.001233	0.002679	1.897470	-3504.862
22192	0.023806	0.025999	0.001748	0.002679	1.479769	-3519.340
22196	0.026632	0.028049	0.002481	0.003098	1.006551	-3528.647
22200	0.021752	0.035168	0.002832	0.002980	2.085323	-3518.770
22204	0.019177	0.036905	0.001736	0.002723	1.854342	-3524.602
22208	0.020249	0.039947	0.002085	0.003057	1.505363	-3512.884
22212	0.015519	0.028755	0.001390	0.002511	1.993834	-3514.442
22216	0.012764	0.022360	0.001081	0.002159	2.246732	-3515.230
22220	0.016620	0.034375	0.001472	0.002704	1.591852	-3531.374
22224	0.020648	0.028584	0.002101	0.003129	1.617171	-3533.921
22228	0.017879	0.029911	0.001510	0.002947	1.179931	-3502.389
22232	0.017476	0.046039	0.001361	0.002947	1.387820	-3511.425
22236	0.018587	0.030992	0.001872	0.002947	1.744215	-3503.258
22240	0.022550	0.043308	0.003305	0.003465	1.341240	-3494.132
22244	0.023305	0.041377	0.003327	0.003465	1.358181	-3511.714
22248	0.022456	0.034621	0.002676	0.003197	1.715775	-3521.547
22252	0.019116	0.045471	0.004346	0.003197	2.233339	-3505.192
22256	0.018044	0.035310	0.002877	0.002740	1.565135	-3514.613
22260	0.019634	0.033354	0.003387	0.002740	1.448421	-3511.312
22264	0.013455	0.027488	0.002613	0.001917	1.870544	-3509.429
22268	0.009186	0.019933	0.001693	0.001282	1.509371	-3511.355
22272	0.009385	0.015776	0.001736	0.001282	2.390626	-3520.275
22276	0.011217	0.021804	0.002211	0.001508	1.929583	-3512.726
22280	0.011299	0.022254	0.002412	0.001412	3.041660	-3502.153
22284	0.008708	0.020527	0.001494	0.001115	2.410174	-3523.631
22288	0.008204	0.023677	0.001366	0.001148	1.520809	-3513.220
22292	0.009336	0.027175	0.001671	0.001364	2.116954	-3500.856
22296	0.010608	0.022263	0.001344	0.001364	2.245588	-3502.829
22300	0.011066	0.018739	0.002615	0.001353	2.567868	-3510.447
22304	0.011856	0.030991	0.003404	0.001547	3.656393	-3514.164
22308	0.013828	0.031460	0.002709	0.001659	3.656393	-3528.373
22312	0.012146	0.030162	0.002802	0.001659	4.346294	-3521.966
22316	0.015677	0.043585	0.004872	0.002218	3.093903	-3523.003
22320	0.019207	0.050062	0.005881	0.002860	2.470493	-3515.853
22324	0.022518	0.049556	0.007637	0.003066	3.128686	-3524.618
22328	0.019455	0.047702	0.008438	0.003081	3.193292	-3506.147
22332	0.016947	0.055192	0.006744	0.002850	3.193292	-3526.617
22336	0.012640	0.032425	0.003865	0.002115	2.902755	-3525.571
22340	0.012819	0.027824	0.003077	0.002115	2.872350	-3517.676
22344	0.014567	0.028928	0.002425	0.002461	1.855737	-3528.249
22348	0.013807	0.037096	0.005058	0.002728	1.370135	-3509.408
22352	0.012694	0.034209	0.004632	0.002376	1.179599	-3510.763
22356	0.013728	0.021661	0.003460	0.002376	1.827560	-3526.572
22360	0.012926	0.023194	0.002328	0.002376	1.827560	-3499.016
22364	0.019617	0.039797	0.004077	0.003576	2.711046	-3504.378
22368	0.015453	0.034013	0.002639	0.002989	1.680202	-3515.518
22372	0.015704	0.035065	0.002829	0.003117	1.680202	-3505.619
22376	0.015428	0.033306	0.002912	0.003117	1.999902	-3498.907
22380	0.017949	0.028919	0.003643	0.003374	1.086534	-3498.573
22384	0.017963	0.032501	0.002692	0.003374	1.137967	-3484.299
22388	0.015141	0.031179	0.003000	0.003374	1.654058	-3484.555
22392	0.015980	0.027127	0.004159	0.003374	1.572238	-3493.962
22396	0.015777	0.037963	0.002842	0.003357	1.664657	-3479.321
22400	0.014674	0.028318	0.004379	0.002831	1.405944	-3509.238
22404	0.016158	0.028004	0.003351	0.003048	1.457905	-3500.321
22408	0.016747	0.027760	0.007085	0.003048	1.215664	-3487.294
22412	0.015137	0.029070	0.003458	0.002585	2.087399	-3495.079
22416	0.013875	0.038233	0.004305	0.002585	1.837437	-3520.827
22420	0.012421	0.031303	0.002185	0.002170	1.837437	-3528.479
22424	0.013870	0.032982	0.001762	0.002170	1.837437	-3529.069
22428	0.014408	0.028241	0.003635	0.002402	1.491352	-3515.606
22432	0.011509	0.027449	0.002503	0.002168	2.053209	-3511.491
22436	0.013811	0.028589	0.002689	0.002439	2.630970	-3497.887
22440	0.013560	0.030633	0.002492	0.002426	1.480247	-3521.870
22444	0.016698	0.042605	0.003655	0.003254	1.480247	-3500.488
22448	0.019617	0.033958	0.002707	0.003352	1.480247	-3520.660
22452	0.020382	0.047533	0.002344	0.003352	1.732065	-3512.325
22456	0.018609	0.051412	0.002788	0.003352	2.402196	-3506.623
22460	0.019252	0.033313	0.002658	0.002859	1.943867	-3505.526
22464	0.016651	0.035856	0.003697	0.002686	1.943867	-3502.483
22468	0.020126	0.032687	0.002538	0.002686	1.461451	-3525.655
22472	0.014110	0.025590	0.002797	0.002128	1.694905	-3496.167
22476	0.012794	0.023398	0.001831	0.001965	1.893290	-3498.229
22480	0.014740	0.025429	0.001904	0.002138	2.121684	-3506.332
22484	0.013710	0.032471	0.001946	0.002224	2.460428	-3511.299
22488	0.016583	0.038917	0.001661	0.002541	1.963285	-3512.335
22492	0.018740	0.043259	0.002031	0.002523	1.567431	-3517.316
22496	0.021252	0.038428	0.002443	0.002840	1.037423	-3542.419
22500	0.019622	0.040866	0.002498	0.002867	1.660621	-3540.133
22504	0.019667	0.040680	0.003344	0.002833	1.660621	-3512.347
22508	0.020101	0.033203	0.004114	0.002487	1.772667	-3499.395
22512	0.021444	0.027715	0.004070	0.002487	1.112308	-3499.883
22516	0.031048	0.050404	0.005209	0.003638	1.506462	-3496.826
22520	0.024815	0.039557	0.005270	0.003124	1.506462	-3506.579
22524	0.026034	0.033717	0.004849	0.002856	1.625509	-3517.209
22528	0.026095	0.034670	0.003787	0.002856	1.654517	-3514.923
22532	0.026888	0.050579	0.004495	0.003192	3.018578	-3507.900
22536	0.025438	0.043845	0.005247	0.003111	1.739129	-3505.196
22540	0.021193	0.028538	0.005491	0.002370	1.254408	-3513.391
22544	0.017249	0.019435	0.003527	0.001869	1.254408	-3520.106
22548	0.017069	0.021529	0.003303	0.001869	1.583513	-3521.172
22552	0.014565	0.019227	0.002763	0.001543	1.476354	-3514.456
22556	0.015152	0.029301	0.003314	0.001853	1.336804	-3520.135
22560	0.016802	0.024876	0.003415	0.001963	2.616253	-3507.418
22564	0.015308	0.030272	0.005723	0.001963	2.169683	-3522.568
22568	0.013988	0.021355	0.004797	0.001820	1.697178	-3518.423
22572	0.016984	0.019968	0.004076	0.001951	1.373928	-3512.797
22576	0.016952	0.027122	0.007144	0.001951	2.062576	-3524.958
22580	0.020840	0.032339	0.005509	0.002400	1.514001	-3502.674
22584	0.024067	0.029450	0.008314	0.002649	1.427805	-3494.671
22588	0.018526	0.026833	0.006577	0.002258	1.427805	-3519.324
22592	0.018438	0.022317	0.004046	0.002258	1.427805	-3507.636
22596	0.016707	0.021001	0.004099	0.002258	1.427805	-3513.068
22600	0.015991	0.023707	0.005447	0.002412	1.314769	-3509.908
22604	0.013599	0.016050	0.002727	0.001972	1.758293	-3503.943
22608	0.020203	0.026663	0.006031	0.002877	1.781167	-3488.707
22612	0.021245	0.031183	0.005297	0.003073	1.781167	-3489.414
22616	0.022258	0.028211	0.005961	0.003073	1.323027	-3499.918
22620	0.020219	0.024224	0.005842	0.002595	1.094562	-3501.458
22624	0.019558	0.027239	0.005668	0.002809	1.806292	-3495.708
22628	0.018690	0.026675	0.003500	0.002446	1.448015	-3498.760
22632	0.021187	0.039003	0.002564	0.002793	1.868042	-3478.506
22636	0.018664	0.034313	0.003456	0.002620	1.951741	-3506.060
22640	0.016661	0.032308	0.003297	0.002744	2.057432	-3501.611
22644	0.020516	0.034083	0.004620	0.003178	1.410227	-3505.082
22648	0.018202	0.039474	0.004424	0.003171	1.739506	-3528.384
22652	0.015701	0.029230	0.005422	0.002757	1.430849	-3525.644
22656	0.013114	0.036020	0.006517	0.002659	1.636673	-3521.117
22660	0.014287	0.028703	0.003346	0.002826	1.248647	-3532.886
22664	0.013084	0.028947	0.002681	0.002570	1.995315	-3534.380
22668	0.014825	0.034487	0.003672	0.003160	1.669728	-3521.129
22672	0.015878	0.032477	0.003889	0.003160	1.251933	-3519.309
22676	0.013988	0.024522	0.004081	0.003048	1.569894	-3528.994
22680	0.015191	0.028393	0.006376	0.003193	1.607442	-3537.334
22684	0.015281	0.031850	0.002690	0.003193	1.411411	-3528.422
22688	0.017553	0.033070	0.003472	0.003833	1.689933	-3517.966
22692	0.019657	0.032077	0.003439	0.004552	1.279557	-3514.116
22696	0.016936	0.030046	0.002656	0.003835	1.776972	-3505.210
22700	0.018076	0.038125	0.002229	0.003704	1.681876	-3499.973
22704	0.013080	0.025462	0.003426	0.002932	1.872290	-3507.545
22708	0.020493	0.036791	0.003041	0.003558	2.582026	-3506.815
22712	0.016864	0.022803	0.004626	0.003033	3.216744	-3496.049
22716	0.019896	0.027876	0.002704	0.003467	2.013563	-3494.744
22720	0.015770	0.022149	0.004364	0.002782	2.060133	-3504.118
22724	0.014698	0.021533	0.004798	0.002402	2.060133	-3528.516
22728	0.013487	0.018507	0.004365	0.002402	1.451796	-3538.968
22732	0.014025	0.025485	0.004208	0.002550	1.451796	-3523.207
22736	0.015286	0.025372	0.003117	0.002646	1.451796	-3535.404
22740	0.014621	0.018092	0.001255	0.002646	1.009554	-3510.747
22744	0.011669	0.018524	0.001561	0.002223	1.777708	-3518.559
22748	0.015960	0.022565	0.002739	0.002968	1.306261	-3511.300
22752	0.015724	0.020247	0.003151	0.002968	1.008704	-3525.394
22756	0.016765	0.020586	0.001782	0.002968	1.327161	-3535.935
22760	0.016998	0.018199	0.001017	0.002610	1.090973	-3540.205
22764	0.015822	0.014012	0.001125	0.002728	1.041239	-3515.625
22768	0.013416	0.017970	0.001236	0.002478	1.002851	-3505.385
22772	0.013994	0.018707	0.001575	0.002534	1.002851	-3512.413
22776	0.019966	0.024677	0.002306	0.003354	1.277395	-3490.358
22780	0.018496	0.030117	0.001663	0.003062	1.524250	-3523.862
22784	0.022096	0.028882	0.003070	0.003901	1.047091	-3510.568
22788	0.018670	0.021397	0.004356	0.002940	1.193854	-3505.397
22792	0.021217	0.026427	0.002452	0.003151	1.636956	-3480.332
22796	0.018648	0.024940	0.002763	0.003151	1.745247	-3479.793
22800	0.018229	0.026334	0.003061	0.003189	1.685542	-3496.390
22804	0.018989	0.026092	0.002315	0.003432	1.362684	-3508.983
22808	0.018619	0.024996	0.002031	0.003432	1.072126	-3501.712
22812	0.017234	0.023896	0.003500	0.003432	1.437889	-3498.303
22816	0.016726	0.025372	0.003183	0.003514	1.900461	-3475.796
22820	0.014464	0.024948	0.001947	0.003188	1.347343	-3484.007
22824	0.012241	0.020278	0.002008	0.002884	1.151797	-3491.373
22828	0.012776	0.018756	0.001728	0.002884	1.022578	-3510.599
22832	0.014759	0.020358	0.001948	0.003493	1.053850	-3495.061
22836	0.018509	0.025791	0.001825	0.003960	1.176216	-3516.375
22840	0.018701	0.025497	0.001680	0.004195	1.370210	-3512.119
22844	0.017133	0.018725	0.001211	0.003736	1.190873	-3543.223
22848	0.019398	0.022194	0.001408	0.004401	1.190873	-3512.670
22852	0.018086	0.022056	0.001838	0.004511	1.319095	-3526.533
22856	0.016329	0.020284	0.000863	0.004004	1.462646	-3526.667
22860	0.017319	0.025738	0.000969	0.004004	1.748369	-3508.145
22864	0.018921	0.022080	0.001039	0.004287	1.354048	-3498.190
22868	0.020029	0.018490	0.000939	0.004287	1.362837	-3508.965
22872	0.020246	0.019104	0.000945	0.004031	1.954562	-3504.881
22876	0.021094	0.025359	0.001059	0.004579	1.369139	-3505.348
22880	0.016923	0.018848	0.002503	0.003829	1.657930	-3521.648
22884	0.021843	0.022073	0.000930	0.004739	2.165685	-3524.714
22888	0.020635	0.020215	0.001340	0.004883	1.793301	-3516.075
22892	0.020881	0.018250	0.001643	0.004924	1.978575	-3498.798
22896	0.020173	0.018539	0.001037	0.004741	1.311785	-3524.035
22900	0.022872	0.034145	0.004393	0.005700	1.774975	-3522.317
22904	0.019712	0.023061	0.002515	0.005065	1.774975	-3518.017
22908	0.020116	0.022078	0.002579	0.005702	1.470283	-3528.020
22912	0.021348	0.026380	0.001730	0.005007	1.502006	-3500.515
22916	0.016804	0.020732	0.000894	0.004262	1.138531	-3492.520
22920	0.014209	0.015590	0.000763	0.003522	1.529887	-3529.541
22924	0.011125	0.012768	0.000992	0.003098	1.909541	-3506.295
22928	0.015342	0.023307	0.001624	0.004123	1.751778	-3498.938
22932	0.015084	0.022821	0.001087	0.004083	1.972633	-3509.433
22936	0.020251	0.027346	0.002336	0.004895	1.690344	-3477.381
22940	0.016342	0.023151	0.003602	0.004234	1.747948	-3492.094
22944	0.015991	0.023355	0.002094	0.004234	1.764922	-3512.691
22948	0.015913	0.024979	0.001627	0.003907	1.764922	-3512.996
22952	0.013380	0.023065	0.001624	0.003227	2.262578	-3505.957
22956	0.014715	0.021710	0.002958	0.003662	1.700480	-3507.346
22960	0.012884	0.017008	0.001906	0.003174	1.639429	-3504.713
22964	0.011804	0.020547	0.001380	0.003174	2.161949	-3485.889
22968	0.011505	0.019654	0.001179	0.003119	2.431668	-3488.258
22972	0.011546	0.025588	0.000873	0.003119	3.378248	-3530.039
22976	0.013251	0.024649	0.000995	0.003119	3.378248	-3520.597
22980	0.013721	0.022925	0.001102	0.003103	3.378248	-3497.598
22984	0.013013	0.026763	0.000758	0.003041	2.165394	-3505.636
22988	0.014564	0.020867	0.000553	0.003329	1.729753	-3501.689
22992	0.017126	0.024240	0.001109	0.003661	1.729753	-3500.381
22996	0.024694	0.031506	0.000917	0.004984	1.465207	-3509.336
23000	0.019610	0.022771	0.001943	0.004578	1.197306	-3518.260
23004	0.024669	0.035666	0.001186	0.005304	1.701250	-3529.195
23008	0.017581	0.034567	0.001342	0.004953	2.049951	-3515.007
23012	0.015826	0.022953	0.001160	0.004613	1.576469	-3508.486
23016	0.015698	0.035387	0.000995	0.004613	2.192793	-3494.164
23020	0.015006	0.026745	0.001279	0.004603	1.435350	-3486.781
23024	0.012320	0.020551	0.001262	0.003861	1.676790	-3494.732
23028	0.013678	0.028395	0.001307	0.004144	1.703384	-3498.401
23032	0.015163	0.018489	0.001601	0.004144	1.184588	-3501.202
23036	0.012232	0.021243	0.001226	0.003817	1.459517	-3495.428
23040	0.013740	0.023505	0.000735	0.003906	1.786080	-3481.733
23044	0.018156	0.026412	0.001280	0.004606	1.442961	-3506.074
23048	0.018801	0.026988	0.000618	0.004586	2.337989	-3496.231
23052	0.014310	0.025730	0.000935	0.004403	1.705989	-3503.186
23056	0.016044	0.027082	0.000709	0.004531	2.221447	-3482.477
23060	0.016533	0.028666	0.000901	0.004531	2.221447	-3492.000
23064	0.017873	0.032106	0.001198	0.004964	2.221447	-3525.229
23068	0.016775	0.033556	0.001665	0.004871	1.925597	-3518.668
23072	0.019064	0.036890	0.000753	0.005716	2.614192	-3518.017
23076	0.014708	0.026784	0.000871	0.004889	1.686939	-3532.429
23080	0.015740	0.027929	0.000912	0.004889	1.686939	-3508.905
23084	0.018260	0.026291	0.001083	0.005146	2.113126	-3523.693
23088	0.017121	0.028775	0.001493	0.004819	2.113126	-3522.689
23092	0.015689	0.023987	0.001567	0.004819	1.629100	-3516.863
23096	0.020678	0.034556	0.001483	0.006398	1.654486	-3485.348
23100	0.019212	0.029097	0.000963	0.006342	1.692467	-3490.875
23104	0.019646	0.027569	0.002543	0.006342	2.118430	-3499.735
23108	0.020869	0.025425	0.002083	0.005922	1.595796	-3506.981
23112	0.016672	0.027564	0.001449	0.006064	1.709849	-3487.211
23116	0.014739	0.020588	0.003212	0.005514	2.119159	-3482.962
23120	0.013140	0.023092	0.001204	0.004595	2.750278	-3488.891
23124	0.012680	0.015321	0.001830	0.004595	1.371816	-3496.365
23128	0.016112	0.022131	0.001320	0.004971	2.034364	-3516.747
23132	0.012386	0.018341	0.000905	0.003625	2.113752	-3502.565
23136	0.009006	0.015184	0.000740	0.002997	1.968196	-3507.677
23140	0.009189	0.016690	0.001137	0.003455	1.713743	-3490.157
23144	0.009654	0.014754	0.001827	0.003455	2.289781	-3505.084
23148	0.010274	0.018395	0.000935	0.003455	2.289781	-3525.497
23152	0.012141	0.020299	0.001737	0.003765	2.183686	-3512.678
23156	0.010975	0.013839	0.000681	0.003183	1.824393	-3507.488
23160	0.015481	0.021307	0.000822	0.004634	3.074325	-3515.368
23164	0.013079	0.020374	0.001084	0.003905	3.074325	-3483.489
23168	0.016565	0.021478	0.001151	0.004725	2.053690	-3503.173
23172	0.014179	0.020196	0.000628	0.003958	1.752780	-3488.114
23176	0.018441	0.032026	0.001965	0.004700	2.514130	-3503.196
23180	0.012860	0.020043	0.002104	0.003757	2.362078	-3514.919
23184	0.013259	0.025722	0.001347	0.004125	2.950280	-3504.262
23188	0.011610	0.014752	0.000632	0.002968	2.343535	-3495.028
23192	0.013087	0.018014	0.000472	0.003335	2.165218	-3499.310
23196	0.011420	0.014091	0.000643	0.002842	2.165218	-3499.436
23200	0.009706	0.015494	0.000764	0.002397	2.165218	-3514.094
23204	0.009393	0.016652	0.000626	0.002397	2.968224	-3526.654
23208	0.009839	0.019478	0.000729	0.002967	2.211796	-3539.423
23212	0.009763	0.019603	0.000961	0.003108	1.643222	-3531.201
23216	0.010490	0.021373	0.001173	0.003108	1.418132	-3531.586
23220	0.012838	0.016869	0.001646	0.003576	1.857508	-3524.376
23224	0.011525	0.018964	0.001844	0.003576	1.970267	-3531.402
23228	0.013037	0.021477	0.000806	0.003895	2.098986	-3521.154
23232	0.018806	0.028247	0.001213	0.005487	1.864803	-3507.277
23236	0.023735	0.038975	0.001063	0.006223	2.446379	-3505.588
23240	0.017814	0.027907	0.001075	0.005022	2.446379	-3498.843
23244	0.013579	0.018337	0.000921	0.003613	2.072229	-3501.261
23248	0.012326	0.017212	0.001232	0.003409	3.184696	-3489.228
23252	0.014645	0.020995	0.001089	0.003790	2.489908	-3525.004
23256	0.012546	0.024765	0.001443	0.003790	2.489908	-3506.103
23260	0.013626	0.019901	0.002228	0.003790	1.869320	-3497.210
23264	0.016538	0.027278	0.002057	0.004520	2.457770	-3501.872
23268	0.016221	0.024554	0.001086	0.004179	1.815280	-3506.605
23272	0.017070	0.026820	0.000895	0.004179	1.708118	-3524.911
23276	0.018920	0.026127	0.000566	0.004179	2.035129	-3508.947
23280	0.019484	0.028259	0.000553	0.004179	2.035129	-3503.327
23284	0.016524	0.023707	0.000806	0.004179	1.598941	-3519.225
23288	0.016470	0.026977	0.000705	0.004179	2.107260	-3509.235
23292	0.016506	0.023911	0.000980	0.004122	2.107260	-3500.099
23296	0.019720	0.021150	0.001659	0.004778	1.886191	-3523.811
23300	0.020324	0.025721	0.001765	0.004778	1.813102	-3494.505
23304	0.019625	0.024418	0.001411	0.004778	1.734209	-3505.529
23308	0.020583	0.032775	0.001492	0.005114	2.590465	-3517.171
23312	0.021199	0.029722	0.003475	0.005541	2.233093	-3486.613
23316	0.017456	0.022887	0.002540	0.004687	1.578873	-3517.654
23320	0.014732	0.019763	0.002406	0.003425	1.938584	-3499.518
23324	0.017154	0.017028	0.002672	0.004091	1.675732	-3512.091
23328	0.013592	0.018015	0.002708	0.004091	1.675732	-3529.368
23332	0.014178	0.018400	0.000999	0.003697	1.675732	-3485.008
23336	0.012500	0.018599	0.001793	0.003193	2.192620	-3515.007
23340	0.012874	0.017513	0.001398	0.003285	1.849586	-3507.728
23344	0.015813	0.016812	0.002074	0.003891	1.476387	-3513.620
23348	0.016636	0.017026	0.003531	0.004537	1.750480	-3520.761
23352	0.019902	0.024120	0.001552	0.004856	1.876659	-3507.197
23356	0.018788	0.025228	0.000590	0.004856	2.554517	-3506.403
23360	0.018836	0.026545	0.000871	0.004856	1.779720	-3504.203
23364	0.021977	0.024443	0.000871	0.005175	1.779720	-3488.279
23368	0.020539	0.023029	0.001444	0.005175	1.885534	-3506.138
23372	0.020111	0.023024	0.001929	0.005175	1.992973	-3499.366
23376	0.019032	0.024728	0.001037	0.005175	1.435236	-3527.948
23380	0.020630	0.033279	0.001901	0.006295	1.435236	-3513.610
23384	0.014461	0.025080	0.002526	0.004621	1.860882	-3500.788
23388	0.015375	0.029754	0.002224	0.005088	1.595719	-3492.718
23392	0.014190	0.028375	0.000939	0.004724	1.882139	-3491.125
23396	0.014997	0.023246	0.000703	0.004361	1.781186	-3501.434
23400	0.013092	0.024104	0.000861	0.003699	1.979560	-3498.757
23404	0.013714	0.025751	0.000834	0.003736	1.839631	-3510.582
23408	0.015225	0.027592	0.000934	0.004089	2.513387	-3514.999
23412	0.016159	0.021548	0.001017	0.004620	1.537304	-3517.776
23416	0.018512	0.026818	0.001452	0.005472	1.921398	-3517.973
23420	0.016542	0.025786	0.001441	0.004584	1.870658	-3490.794
23424	0.014842	0.022892	0.001035	0.004347	1.870658	-3504.989
23428	0.016068	0.025798	0.000914	0.004347	1.528456	-3501.277
23432	0.017922	0.023777	0.001530	0.004552	1.377677	-3522.274
23436	0.016930	0.020851	0.001803	0.004362	1.377677	-3502.184
23440	0.015961	0.021086	0.001575	0.003992	1.136062	-3521.113
23444	0.017382	0.015991	0.001861	0.004558	0.804551	-3509.556
23448	0.016671	0.018537	0.001755	0.004558	1.131281	-3504.245
23452	0.015629	0.016650	0.002654	0.004287	1.588133	-3512.751
23456	0.019741	0.022930	0.001729	0.005390	1.467003	-3513.975
23460	0.019652	0.027171	0.001436	0.005451	1.787962	-3491.454
23464	0.016584	0.033868	0.001630	0.004671	2.802392	-3492.347
23468	0.017488	0.038838	0.002640	0.005432	2.585496	-3486.058
23472	0.014369	0.030420	0.000938	0.004976	1.965992	-3504.920
23476	0.017260	0.027538	0.001084	0.004928	2.035387	-3488.543
23480	0.017472	0.039613	0.001878	0.005198	2.388863	-3490.670
23484	0.019640	0.041688	0.001131	0.006318	3.309703	-3493.670
23488	0.018327	0.045601	0.001072	0.006318	2.425921	-3502.481
23492	0.021661	0.043162	0.001373	0.007533	2.261331	-3507.133
23496	0.016109	0.032730	0.001753	0.005805	1.279769	-3511.174
23500	0.015580	0.029254	0.001486	0.006012	1.680291	-3489.261
23504	0.015794	0.027748	0.001268	0.006196	1.680291	-3507.863
23508	0.014460	0.020564	0.001217	0.005377	1.382369	-3502.645
23512	0.017391	0.026495	0.001212	0.006210	1.294066	-3498.731
23516	0.013335	0.019945	0.000684	0.005534	1.433112	-3487.699
23520	0.015607	0.020030	0.001059	0.006024	1.075595	-3506.149
23524	0.018066	0.022835	0.000920	0.006024	1.982043	-3518.339
23528	0.017569	0.019661	0.000576	0.005598	1.764597	-3516.011
23532	0.016984	0.013069	0.000856	0.004658	1.764597	-3518.301
23536	0.017062	0.015261	0.001039	0.004638	1.739113	-3517.193
23540	0.013982	0.015542	0.001165	0.004363	1.892199	-3505.344
23544	0.015258	0.019827	0.001941	0.004905	1.589789	-3498.828
23548	0.012564	0.018521	0.001302	0.004378	2.151510	-3503.265
23552	0.010567	0.018305	0.000928	0.003714	2.151510	-3517.979
23556	0.010665	0.019863	0.000770	0.003714	1.547270	-3510.243
23560	0.013282	0.022008	0.001461	0.004042	1.902954	-3517.831
23564	0.012235	0.021056	0.001728	0.004042	1.896710	-3523.744
23568	0.012321	0.027133	0.001134	0.004697	2.035488	-3484.557
23572	0.013120	0.024525	0.001267	0.004871	1.877207	-3502.040
23576	0.012529	0.025648	0.001850	0.004871	1.577829	-3518.372
23580	0.016052	0.028797	0.001738	0.005289	2.013867	-3511.842
23584	0.016947	0.022677	0.001333	0.005289	1.486178	-3509.828
23588	0.015704	0.019266	0.001821	0.004976	1.486178	-3506.158
23592	0.013516	0.016937	0.000672	0.004123	1.232143	-3508.006
23596	0.013178	0.019300	0.000837	0.004014	1.483509	-3511.071
23600	0.016822	0.029046	0.001799	0.005285	1.994012	-3507.875
23604	0.014214	0.021477	0.001189	0.003705	1.994012	-3497.045
23608	0.019623	0.024962	0.001046	0.004767	1.538610	-3499.400
23612	0.018813	0.022475	0.000743	0.004071	1.256687	-3509.768
23616	0.023460	0.033700	0.002118	0.005667	1.813366	-3494.223
23620	0.022253	0.028454	0.002275	0.005525	1.321777	-3493.726
23624	0.019516	0.026045	0.001203	0.004610	1.657355	-3495.901
23628	0.017427	0.023103	0.000908	0.004218	1.984317	-3505.981
23632	0.015749	0.025015	0.000965	0.004214	1.492962	-3509.531
23636	0.012561	0.027373	0.001104	0.003562	2.203135	-3495.112
23640	0.014971	0.021407	0.001787	0.004208	1.404334	-3517.280
23644	0.016733	0.029056	0.001608	0.003850	1.994565	-3497.045
23648	0.013920	0.026432	0.002106	0.003290	2.894404	-3514.879
23652	0.014920	0.022096	0.001597	0.003261	2.137370	-3505.142
23656	0.016698	0.025266	0.001433	0.003695	1.611120	-3494.858
23660	0.016447	0.023210	0.002588	0.003447	2.283124	-3513.437
23664	0.018795	0.025102	0.002363	0.003417	2.369890	-3506.211
23668	0.017669	0.025581	0.001682	0.003580	1.783616	-3521.187
23672	0.016273	0.021250	0.001079	0.003105	1.341903	-3501.167
23676	0.015583	0.023367	0.000635	0.003564	1.176773	-3510.254
23680	0.015679	0.025677	0.001452	0.003046	1.481043	-3522.714
23684	0.018249	0.031600	0.001356	0.003953	1.096079	-3496.709
23688	0.025091	0.037905	0.001912	0.004601	1.397957	-3493.057
23692	0.024881	0.031446	0.002886	0.004246	1.555920	-3511.037
23696	0.022456	0.036266	0.002013	0.003962	1.555920	-3493.906
23700	0.026137	0.036308	0.001603	0.004613	1.555920	-3507.282
23704	0.028029	0.038649	0.001727	0.005121	1.937140	-3496.309
23708	0.024096	0.039667	0.001665	0.005204	1.661908	-3483.168
23712	0.022692	0.033747	0.000970	0.004587	1.799583	-3503.659
23716	0.020918	0.039781	0.000874	0.004587	1.482475	-3515.635
23720	0.023286	0.029092	0.001865	0.004741	1.412972	-3499.374
23724	0.022554	0.030234	0.001571	0.004741	1.930611	-3501.127
23728	0.018124	0.027654	0.001056	0.004325	1.930611	-3534.021
23732	0.019606	0.031733	0.000886	0.004325	1.930611	-3519.253
23736	0.017897	0.033835	0.001548	0.004384	2.786059	-3541.332
23740	0.017555	0.027928	0.001167	0.003760	2.040381	-3527.082
23744	0.014309	0.022475	0.001214	0.003175	1.607748	-3504.354
23748	0.017170	0.025279	0.002338	0.003587	1.594103	-3516.953
23752	0.014335	0.017456	0.002024	0.003066	1.166166	-3518.649
23756	0.018266	0.022127	0.001484	0.003789	1.375360	-3520.981
23760	0.013127	0.014815	0.001456	0.002789	1.375360	-3510.263
23764	0.016009	0.015828	0.002823	0.003056	0.930151	-3508.614
23768	0.016276	0.020030	0.002148	0.003392	1.907178	-3533.073
23772	0.016328	0.020056	0.001022	0.003704	1.421717	-3528.227
23776	0.016424	0.031131	0.000994	0.003704	2.018295	-3541.991
23780	0.016753	0.023749	0.000899	0.003625	1.471829	-3522.603
